X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64
U.S. Territories,,No,Asian/Pacific Islander,No,Heterosexual,Woman,No,Yes,Muslim,"Under $50,000",No,No,No,Public,5,My school did not offer,2,My school did not offer,"Academic Clubs/Competition, Community Service, Family Responsibilities, JROTC, Speech and Debate, Theater, Paid work",No,,EDII,50,"George Mason University, SUNY Albany, SUNY Binghamton, University of Texas at Dallas, University of Hawaii at Manoa, University of Massachusetts Boston, University of Minnesota, University of Oregon, Washington State University",Vanderbilt was not my first choice but was one of my top choices,"Yes, but I did not submit it",No,,,No,"Cost, Academics, Post-grad opportunities",None,College of Arts of Science,No,Biological Sciences,"Yes, as a pre-med student",West,Crawford,"Yes, full cost of attendence",No,"$5,000 - $9,999",No,2,4,1,2,5,7,4,4,6,4,"Yes, in my home state/country",I intend to vote for Kamala Harris,4-6 hours,"Instagram, Facebook, Youtube",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Washington,,No,Asian/Pacific Islander,No,Heterosexual,Man,No,Yes,Don’t question it,"$75,000 - $99,999",No,No,No,Private,10+,My school did not offer,My school did not offer,My school did not offer,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Family Responsibilities, Career-oriented internship, Model UN, Research, Speech and Debate, Student Government","Yes, in both high school and college",Research,Regular Decision off the waitlist,19,"University of Michigan, University of Wisconsin, University of Washington, UCSD, UCSB, UCD, UCI, George Washington University",Vanderbilt was not my first choice but was one of my top choices,"Yes, and I submitted it",No,1530,,"Yes, standardized testing (ACT/SAT) tutoring, Yes, college counseling","Cost, Academics, Faculty",Commodore Launch,College of Arts of Science,No,History,"Yes, as a pre-law student",Gillette,Gillette,"Yes, more than half the cost of attendance",No,$0 ,No,5,1,1,7,4,2,1,3,4,4,I am registered to vote but do not vote,I do not intend to vote,6-9 hours,"News websites/apps, Other social media",Twice a week,Once a month,Never,Never,None,Yes,N/A (I have never owned a fake ID)
None of the Above,China,No,Asian/Pacific Islander,No,Heterosexual,Woman,No,Yes,"None (Atheist, Agnostic, etc.)","$300,000 - $499,999",No,No,No,Private,My school did not offer,My school did not offer,My school did not offer,My school did not offer,"Academic Clubs/Competition, Advocacy, Community Service, Family Responsibilities, Career-oriented internship, Music, Model UN, Research, Speech and Debate, Student Government",No,,Regular Decision,20,"Berklee College of Music, Los Angeles Colloge of Music, NorthEastern University, Rutgers University, Pennsylvania State University, NorthCarolina State University, Michigan State University",Vanderbilt was my first choice,No,No,,,"Yes, college counseling","Location, Brand name/rankings, Campus",None,College of Arts of Science,No,"Culture, Advocacy, and Leadership",No,West,West,No,No,$0 ,No,2,6,3,3,5,5,4,4,3,4,I am not eligible to vote,I am not eligible to vote,9-12 hours,"News websites/apps, Other social media",Prefer not to answer,Prefer not to answer,Never,Never,None,Yes,N/A (I have never owned a fake ID)
Minnesota,,No,White/Caucasian,No,Heterosexual,Man,No,No,"None (Atheist, Agnostic, etc.)","$1,000,000 or more",No,No,No,Public,9,My school did not offer,10+,0,"Academic Clubs/Competition, Athletics, Community Service, Family Responsibilities, Paid work","Yes, in high school but not in college",Math,Regular Decision off the waitlist,10,"Wash U, University of Michigan, UC San Diego, UNC",Vanderbilt was not my first choice but was one of my top choices,No,"Yes, and I submitted it",,35,No,"Location, Academics, Student Life",Campus tour,School of Engineering,No,Mechanical Engineering,"Yes, on another pre-professional track",East,East,No,No,$0 ,Not sure,4,5,1,6,6,4,6,2,5,1,"Yes, in my home state/country",Prefer not to answer,2-4 hours,"News websites/apps, Instagram, X (formerly Twitter)",Once a month,Twice a week,Never,Never,None,Yes,Minnesota
Florida,,No,African American/Black,No,Bisexual/pansexual,Woman,No,No,Christian,"$75,000 - $99,999",No,No,No,Public,6,0,8,10+,"Academic Clubs/Competition, Community Service, Cultural and Affinity Clubs, Research","Yes, in high school but not in college",Math,Regular Decision,13,"Georgia Tech, Carnegie Mellon, University of Florida, Florida State University, Syracuse University, Rutgers University, University of Pittsburgh, University of Central Florida, Florida International University",Vanderbilt was not my first choice but was one of my top choices,"Yes, but I did not submit it","Yes, but I did not submit it",1380,25,No,"Cost, Location, Academics",Anchor Day (admitted students day),School of Engineering,No,Environmental Engineering,No,West,Hank Ingram,"Yes, full cost of attendence",No,$0 ,No,2,5,1,3,7,7,7,7,7,2,"Yes, in my home state/country",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Podcasts, Instagram",Prefer not to answer,Prefer not to answer,Never,Never,None,Prefer not to answer,N/A (I have never owned a fake ID)
Georgia,Technically both (moved from Nigeria in middle school),No,African American/Black,No,Heterosexual,Woman,No,No,Christian,"$50,000 - $74,999",No,No,No,Public,9,My school did not offer,10+,0,"Academic Clubs/Competition, Advocacy, Community Service, Family Responsibilities, Music, Religious group, Student Government","Yes, in both high school and college",Research,Regular Decision off the waitlist,13,"Baylor Uni, Rutgers Uni, UIUC, Pepperdine Uni, Duke Uni (off the waitlist), Fordham Uni",Vanderbilt was not my first choice but was one of my top choices,"Yes, but I did not submit it","Yes, but I did not submit it",1340,32,No,"Cost, Academics, Post-grad opportunities","Campus tour, Commodore Launch",College of Arts of Science,No,"Law, History, and Society","Yes, as a pre-law student",North,North,"Yes, more than half the cost of attendance",No,$0 ,No,7,5,1,7,2,7,4,1,7,5,I am not eligible to vote,I am not eligible to vote,9-12 hours,"News websites/apps, Instagram, Youtube",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Tennessee,,No,African American/Black,No,Heterosexual,Man,No,Yes,Christian,"$75,000 - $99,999",No,No,No,Public,2,My school did not offer,7,0,"Academic Clubs/Competition, Music",No,,Regular Decision,7,"MTSU, APSU, Tenn Tech, Miami in Ohio, UofM, Belmont",Vanderbilt was my first choice,No,"Yes, but I did not submit it",,22,No,"Cost, Location, Brand name/rankings",Campus tour,Blair School of Music,No,Musical Arts,No,Murray,North,"Yes, more than half the cost of attendance",No,$0 ,No,5,1,1,4,3,4,4,2,2,4,"Yes, in Tennessee",I intend to vote for Donald Trump,6-9 hours,"News websites/apps, Television, Instagram, Facebook, TikTok, X (formerly Twitter), Youtube",Once a semester,Once a month,Never,Never,"Adderall, Cocaine, Heroin, LSD (Acid), Psilocybin (Shrooms)",Yes,N/A (I have never owned a fake ID)
Georgia,,No,Asian/Pacific Islander,No,Bisexual/pansexual,Woman,No,No,Hindu,"$200,000 - $299,999",No,No,No,Public,5,9,5,0,"Advocacy, Community Service, Cultural and Affinity Clubs, Dance, Family Responsibilities, Music, Student Government, Visual Art, Paid work","Yes, in high school but not in college",Research,Regular Decision off the waitlist,13,"Duke University, Northwestern University, University of Georgia, University of North Texas, University of Indiana Bloomington, Georgia State University",Vanderbilt was my first choice,"Yes, but I did not submit it","Yes, but I did not submit it",,30,No,"Cost, School size, Faculty",Campus tour,Blair School of Music,No,Music Integrated Studies,No,North,North,"Yes, more than half the cost of attendance",No,"$150,000 - $200,000",No,1,7,1,4,7,7,7,7,7,4,"Yes, in my home state/country",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Television, Instagram, TikTok, Other social media",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Pennsylvania,,No,Asian/Pacific Islander,No,Heterosexual,Man,No,Yes,"None (Atheist, Agnostic, etc.)","Under $50,000",No,No,No,Public,10+,1,10+,0,"Academic Clubs/Competition, Community Service, Cultural and Affinity Clubs, Family Responsibilities, Career-oriented internship, Research",No,,Regular Decision,20,"CMU, UVA, BU, Temple, Drexel, La Salle, Pittsburgh, Penn State, etc",Vanderbilt was not my first choice nor was it among my top choices,"Yes, and I submitted it",No,1500,,No,"Cost, Academics, Brand name/rankings",None,School of Engineering,"Yes, A&S",Chemistry,Not sure,Gillette,Gillette,"Yes, full cost of attendence",No,"$1-$4,999",Not sure,4,1,1,7,4,4,4,4,7,4,"Yes, in my home state/country",Prefer not to answer,4-6 hours,"Podcasts, Instagram, Youtube",Never,Never,Never,Never,None,Prefer not to answer,"N/A (I have never owned a fake ID), Prefer not to answer"
California,,No,Asian/Pacific Islander,No,Heterosexual,Woman,No,No,Hindu,"$150,000 - $199,999",No,No,No,Public,10+,My school did not offer,3,0,"Academic Clubs/Competition, Advocacy, Community Service, Cultural and Affinity Clubs, Dance, Family Responsibilities, Model UN, Religious group, Research, Theater",No,,Regular Decision,22,"Vanderbilt, Emory, UC San Diego, UC Irvine, Case Western, SanDiego State, CSU Long Beach, UC Santa Barbara, University of Washington, Santa Clara University, Calpoly pomona, UC Santa Cruz, UC Riverside, Sanjose State, UC Merced",Vanderbilt was my first choice,"Yes, and I submitted it",No,1540,,"Yes, standardized testing (ACT/SAT) tutoring, Yes, college counseling","Academics, Faculty, Post-grad opportunities",None,Peabody College of Education and Human Development,No,Child Development,"Yes, as a pre-med student",Hank Ingram,Hank Ingram,"Yes, more than half the cost of attendance",No,I don't know,Not sure,3,7,5,7,7,7,4,2,7,1,"I am eligible to vote, but am not registered",I intend to vote for Kamala Harris,2-4 hours,"Instagram, TikTok, Youtube",Never,Prefer not to answer,Never,Never,None,Prefer not to answer,N/A (I have never owned a fake ID)
Tennessee,,No,Middle Eastern/North African,No,Heterosexual,Woman,No,Yes,Christian,"Under $50,000",No,No,No,Public,4,My school did not offer,10+,5,"Academic Clubs/Competition, Advocacy, Community Service, Cultural and Affinity Clubs, Career-oriented internship, Religious group, Student Government","Yes, in both high school and college","Research, Getting ideas for visual aids and projects",EDII,4,"Belmont, Lipscomb, MTSU",Vanderbilt was not my first choice nor was it among my top choices,No,"Yes, but I did not submit it",,27,No,"Location, Academics, Post-grad opportunities",None,College of Arts of Science,No,Political Science,"Yes, as a pre-law student",Hank Ingram,Hank Ingram,"Yes, full cost of attendence",No,$0 ,No,3,1,1,7,1,4,4,1,7,2,"I am eligible to vote, but am not registered",I intend to vote for Donald Trump,6-9 hours,"Instagram, TikTok",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
New York,,No,White/Caucasian,No,Questioning/unsure,Nonbinary or gender nonconforming,Yes,Yes,"None (Atheist, Agnostic, etc.)","$200,000 - $299,999",No,No,No,Public,3,My school did not offer,My school did not offer,My school did not offer,"Music, Student Government, Visual Art",No,,Regular Decision,7,"Indiana University, New England Conservatory, McGill, Oberlin",Vanderbilt was my first choice,"Yes, and I submitted it",No,1350,,No,"Cost, Academics, Student Life","Campus tour, Commodore Launch",Blair School of Music,No,Music Composition,No,Murray,Murray,"Yes, more than half the cost of attendance",No,$0 ,No,3,3,2,6,6,7,4,5,3,7,"Yes, in my home state/country",I intend to vote for Kamala Harris,6-9 hours,I do not consume news unless I have to,Once a semester,Once a month,Once a semester,Never,Adderall,Yes,N/A (I have never owned a fake ID)
Georgia,,No,Asian/Pacific Islander,No,Bisexual/pansexual,Woman,No,No,Hindu,"$300,000 - $499,999",No,No,No,Private,10+,My school did not offer,8,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Dance, Family Responsibilities, Model UN, Research, Speech and Debate",No,,Regular Decision,10,"University of Georgia, Georgia Tech, Georgia State",Vanderbilt was not my first choice but was one of my top choices,"Yes, but I did not submit it","Yes, and I submitted it",1390,33,"Yes, standardized testing (ACT/SAT) tutoring","Cost, Academics, Student Life",None,College of Arts of Science,No,Neuroscience,"Yes, as a pre-med student",Gillette,Gillette,No,"Yes, covers full tuition",$0 ,No,3,3,1,5,6,5,3,5,6,3,"Yes, in my home state/country",I intend to vote for Kamala Harris,2-4 hours,"News websites/apps, Television, Instagram",Never,Never,Never,Never,None,Yes,N/A (I have never owned a fake ID)
Virginia,,No,White/Caucasian,Yes,Heterosexual,Woman,No,Yes,Catholic,"Under $50,000",No,No,No,Public,7,7,5,1,"Academic Clubs/Competition, Community Service, Music, Paid work",No,,Regular Decision,19,"University of Virginia, College of William and Mary, George Washington University, University of Connecticut, George Mason University, Pennsylvania State University",Vanderbilt was my first choice,"Yes, but I did not submit it","Yes, but I did not submit it",,,No,"Cost, Academics, Brand name/rankings","Commodore Launch, Anchor Day (admitted students day)",College of Arts of Science,No,Psychology,"Yes, as a pre-med student",Hank Ingram,North,"Yes, full cost of attendence",No,$0 ,No,2,4,2,4,5,4,3,6,7,1,I am registered to vote but do not vote,I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Television, Instagram, TikTok",Never,Prefer not to answer,Never,Never,None,No,N/A (I have never owned a fake ID)
California,,No,Asian/Pacific Islander,No,Questioning/unsure,Man,No,No,Christian,"$50,000 - $74,999",No,No,No,Charter,5,My school did not offer,My school did not offer,9,"Community Service, Family Responsibilities, Music, Religious group, Visual Art, Church, Learning Assisting/Tutoring, Photography, Yearbook",No,,Regular Decision off the waitlist,21,"Colby College, UC Irvine, UC Davis, University of Pacific, Sacramento State University, San Diego State University, California State University East Bay",Vanderbilt was not my first choice nor was it among my top choices,No,"Yes, but I did not submit it",,,No,"Cost, Academics, Brand name/rankings",None,College of Arts of Science,No,Neuroscience,"Yes, as a pre-med student",Crawford,Hank Ingram,"Yes, full cost of attendence",No,$0 ,Not sure,4,4,3,7,3,2,2,1,5,4,I am not eligible to vote,I am not eligible to vote,4-6 hours,"Instagram, TikTok, Youtube",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Tennessee,,No,Asian/Pacific Islander,No,Heterosexual,Woman,No,Yes,Buddhist,"Under $50,000",No,No,No,Public,My school did not offer,My school did not offer,7,5,"Academic Clubs/Competition, Advocacy, Community Service, Cultural and Affinity Clubs, Family Responsibilities, Career-oriented internship","Yes, in both high school and college","Writing, Research, Math",Regular Decision,9,"Emory University, Belmont University, and University of Tennessee-Knoxville",Vanderbilt was not my first choice but was one of my top choices,No,"Yes, but I did not submit it",,22,No,"Cost, Academics, Student Life","Campus tour, Anchor Day (admitted students day)",College of Arts of Science,No,"Medicine, Health, and Society (MHS)","Yes, on another pre-professional track",Gillette,North,"Yes, full cost of attendence",No,$0 ,"Yes, I plan to participate in Panhellenic recruitment, Not sure",2,4,1,3,7,5,3,7,7,2,"Yes, in Tennessee",I intend to vote for Kamala Harris,6-9 hours,"News websites/apps, Instagram, TikTok, Youtube",Once a semester,Prefer not to answer,Never,Never,None,No,N/A (I have never owned a fake ID)
Tennessee,,No,African American/Black,No,Bisexual/pansexual,Woman,No,No,"None (Atheist, Agnostic, etc.)","$75,000 - $99,999","Yes, sibling(s)",No,No,Public,10+,My school did not offer,10+,2,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Dance, Music, Model UN, Speech and Debate, Student Government, Theater, Paid work","Yes, in high school but not in college",Writing,Regular Decision,9,"Depaul, MTSU, Bard, Fisk, and Belmont",Vanderbilt was not my first choice but was one of my top choices,No,"Yes, but I did not submit it",,29,No,"Cost, Academics, Brand name/rankings",Anchor Day (admitted students day),College of Arts of Science,No,Theatre,"Yes, as a pre-law student",West,Stambaugh,"Yes, full cost of attendence",No,$0 ,"Yes, I plan to participate in NPHC recruitment",2,5,3,5,7,7,4,5,7,2,"Yes, in Tennessee",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Instagram, TikTok, Other social media",Once a month,Once a week,Never,Once a semester,None,Prefer not to answer,N/A (I have never owned a fake ID)
New York,,No,White/Caucasian,No,Heterosexual,Woman,No,No,Christian,"$200,000 - $299,999",No,No,No,Public,10+,My school did not offer,10+,0,"Athletics, Community Service, Dance, Career-oriented internship, Music, Student Government, Theater",No,,Regular Decision,21,"SUNY Albany, SUNY Binghamton, SUNY Cortland, SUNY Geneseo, SUNY New Paltz, SUNY Stony Brook, PennWest, Penn State, UConn, UMD, UNC, UVA, William and Mary, Longwood, Fordham, JMU",Vanderbilt was my first choice,"Yes, but I did not submit it",No,1310,,No,"Academics, School size, Student Life","Dore For A Day, Commodore Launch",Peabody College of Education and Human Development,No,Special Education,"Yes, on another pre-professional track",North,Hank Ingram,No,"Yes, covers full tuition",$0 ,Not sure,4,1,1,4,7,3,1,5,7,1,"Yes, in my home state/country",Prefer not to answer,4-6 hours,"News websites/apps, Instagram, Facebook, Youtube, Other social media",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
None of the Above,Peru,No,Hispanic/Latino,Yes,Heterosexual,Man,No,No,Roman Catholic,"Under $50,000",No,No,No,Private,My school did not offer,My school did not offer,My school did not offer,My school did not offer,"Academic Clubs/Competition, Community Service, Family Responsibilities, Music","Yes, in both high school and college","Writing, Research, Coding",Regular Decision,23,"Arizona State University, University of Illinois Urbana-Champaign, University of North Carolina Chapel Hill, Georgia Institute of Technology, University of Wisconsin-Madison, University of Hong Kong",Vanderbilt was not my first choice but was one of my top choices,"Yes, but I did not submit it",No,1460,,No,"Academics, Campus, Student Life",None,School of Engineering,No,Civil Engineering,No,Stambaugh,Stambaugh,"Yes, less than half the cost of attendance",No,$0 ,No,4,3,3,3,2,6,4,1,5,4,I am not eligible to vote,I am not eligible to vote,4-6 hours,"News websites/apps, Instagram, Facebook",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Michigan,,No,Asian/Pacific Islander,No,Heterosexual,Man,No,No,Buddhist,"$150,000 - $199,999",No,No,No,Public,8,2,9,7,"Academic Clubs/Competition, Athletics, Community Service, Career-oriented internship, Research, Paid work","Yes, in both high school and college","Writing, Research, Coding, Math",Regular Decision off the waitlist,6,"University of Michigan, Indiana University ",Vanderbilt was not my first choice but was one of my top choices,"Yes, but I did not submit it","Yes, but I did not submit it",1470,30,No,"Academics, Brand name/rankings, Student Life",Campus tour,College of Arts of Science,No,Economics,No,North,North,"Yes, more than half the cost of attendance",No,"$20,000 - $29,999","Yes, I plan to participate in IFC recruitment",3,2,2,5,5,2,1,1,7,2,"I am eligible to vote, but am not registered",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, TikTok",Once a week,Twice a week,Once a month,Once a month,LSD (Acid),Yes,Illinois
Florida,,No,White/Caucasian,No,Heterosexual,Woman,No,Yes,Christian,"$50,000 - $74,999",No,No,No,Public,5,7,4,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Family Responsibilities, Paid work","Yes, in both high school and college","Writing, Math",Regular Decision,18,"carnegie mellon, georgia tech, university of florida, florida state",Vanderbilt was not my first choice but was one of my top choices,No,No,,,No,"Location, Brand name/rankings, Student Life",Anchor Day (admitted students day),School of Engineering,No,Mechanical Engineering,No,Hank Ingram,Hank Ingram,"Yes, full cost of attendence",No,$0 ,Not sure,4,4,3,4,1,1,3,3,3,2,"Yes, in my home state/country",Prefer not to answer,2-4 hours,"News websites/apps, Television, Instagram",Once a semester,Once a week,Never,Never,Adderall,Yes,N/A (I have never owned a fake ID)
None of the Above,China,No,Asian/Pacific Islander,No,Heterosexual,Man,No,Yes,"None (Atheist, Agnostic, etc.)","$300,000 - $499,999",No,No,No,Private,2,My school did not offer,2,My school did not offer,Academic Clubs/Competition,"Yes, in high school but not in college",Writing,Regular Decision,12,none of them,Vanderbilt was my first choice,"Yes, and I submitted it",No,1520,,"Yes, standardized testing (ACT/SAT) tutoring","Academics, Brand name/rankings, Campus",Anchor Day (admitted students day),College of Arts of Science,No,Economics,No,West,West,No,No,$0 ,No,4,4,4,4,4,4,4,3,4,3,I am not eligible to vote,I intend to vote for Donald Trump,4-6 hours,Instagram,Never,Once a month,Never,,None,Yes,N/A (I have never owned a fake ID)
Kentucky,,No,White/Caucasian,No,Heterosexual,Woman,No,Yes,Christian,"$50,000 - $74,999",No,No,No,Public,1,7,My school did not offer,My school did not offer,"Athletics, Community Service, Family Responsibilities, Music, Student Government, Visual Art, Paid work",No,,EDII,32,"University of South Carolina, Miami University of Ohio, Penn State, University of Kentucky, Purdue, Transylvania University",Vanderbilt was my first choice,No,"Yes, and I submitted it",,33,No,"Cost, Academics, Campus","Campus tour, 'Dore For A Day, Anchor Day (admitted students day)",College of Arts of Science,No,Psychology,No,Murray,Murray,"Yes, full cost of attendence","Yes, covers partial tuition",$0 ,No,3,3,1,6,6,5,2,6,6,1,I am not eligible to vote,,2-4 hours,"Print, Instagram, TikTok, Peers/Family",Once a semester,Once a month,Once a semester,Never,None,No,New Jersey
Florida,,No,White/Caucasian,No,Heterosexual,Woman,No,No,"None (Atheist, Agnostic, etc.)","$150,000 - $199,999",No,Yes,No,Private,7,My school did not offer,9,0,"Academic Clubs/Competition, Athletics, Community Service","Yes, in high school but not in college","Writing, Research",Regular Decision,6,USF,Vanderbilt was my first choice,"Yes, and I submitted it","Yes, and I submitted it",1310,29,No,"Academics, Campus, Student Life",Campus tour,College of Arts of Science,No,"Medicine, Health, and Society (MHS)","Yes, as a pre-med student",North,Hank Ingram,No,No,$0 ,Not sure,4,1,2,6,6,6,6,6,6,1,I am not eligible to vote,I am not eligible to vote,2-4 hours,"News websites/apps, Instagram",Once a month,Once a week,Never,Never,None,No,N/A (I have never owned a fake ID)
Massachusetts,,No,Asian/Pacific Islander,No,Heterosexual,Man,No,No,Hindu,"$300,000 - $499,999",No,No,No,Public,6,My school did not offer,10+,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Dance, Student Government, Paid work","Yes, in college but not in high school","Research, Coding",Regular Decision,16,,Vanderbilt was my first choice,"Yes, but I did not submit it","Yes, and I submitted it",,35,"Yes, standardized testing (ACT/SAT) tutoring","Academics, School size, Brand name/rankings","Campus tour, Anchor Day (admitted students day)",College of Arts of Science,No,Economics,No,Gillette,Hank Ingram,No,No,$0 ,"Yes, I plan to participate in IFC recruitment",3,3,2,3,6,6,4,6,7,1,"Yes, in my home state/country",I intend to vote for Kamala Harris,2-4 hours,"News websites/apps, Instagram, TikTok",Once a month,Once a month,Never,Never,,Yes,N/A (I have never owned a fake ID)
Tennessee,,No,White/Caucasian,Yes,Heterosexual,Woman,No,No,Christian,"$200,000 - $299,999","Yes, one parent",No,No,Public,10+,1,10+,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Cultural and Affinity Clubs, Model UN",No,,EDI,25,"auburn, Georgia, utk, Florida, usc, FSU, Clemson, ole miss, Mississippi st, depauw, Alabama ",Vanderbilt was my first choice,No,"Yes, and I submitted it",,36,No,"Location, Academics, School size","Campus tour, 'Dore For A Day",College of Arts of Science,"Yes, Peabody",Human and Organizational Development (HOD),No,Gillette,Stambaugh,No,No,"$200,000 - $249,000",No,4,4,4,7,6,6,4,2,5,7,"Yes, in Tennessee",Prefer not to answer,4-6 hours,"Instagram, TikTok, Youtube, Other social media",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
California,,Yes,"White/Caucasian, Hispanic",Yes,Heterosexual,Man,No,No,Jewish,"$75,000 - $99,999",No,No,No,Private,9,My school did not offer,10+,My school did not offer,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Cultural and Affinity Clubs, Family Responsibilities, Career-oriented internship, Religious group, Speech and Debate, Student Government, Paid work","Yes, in both high school and college",Research,Regular Decision off the waitlist,18,,Vanderbilt was not my first choice nor was it among my top choices,No,"Yes, and I submitted it",,35,"Yes, standardized testing (ACT/SAT) tutoring, Yes, college counseling","Academics, School size, Brand name/rankings",None,College of Arts of Science,"Yes, Peabody",Economics,No,Murray,Hank Ingram,"Yes, more than half the cost of attendance",No,"$75,000 - $99,999","Yes, I plan to participate in IFC recruitment",5,5,5,7,7,1,1,1,3,1,"Yes, in my home state/country",Prefer not to answer,4-6 hours,"News websites/apps, Instagram, Youtube, Other social media",Once a month,Once a week,Once a month,Once a month,,Yes,California
Alabama,,No,Asian/Pacific Islander,No,Heterosexual,Woman,No,No,Hindu,"$300,000 - $499,999",No,No,No,Public,10+,My school did not offer,5,0,"Academic Clubs/Competition, Community Service, Speech and Debate",No,,Regular Decision,17,"UNC chapel Hill, UT austin, Umichigan",Vanderbilt was not my first choice but was one of my top choices,No,"Yes, and I submitted it",,33,"Yes, standardized testing (ACT/SAT) tutoring","Cost, Academics, Brand name/rankings",Dore For A Day,College of Arts of Science,No,Biological Sciences,"Yes, as a pre-med student",Gillette,Hank Ingram,No,"Yes, covers full tuition",$0 ,Not sure,2,4,2,6,6,5,4,5,7,4,"Yes, in my home state/country",I intend to vote for Kamala Harris,4-6 hours,"Instagram, TikTok",Once a month,Once a week,Never,Never,None,No,N/A (I have never owned a fake ID)
Minnesota,,No,White/Caucasian,No,Heterosexual,Man,No,No,"None (Atheist, Agnostic, etc.)","$300,000 - $499,999",No,No,No,Public,10+,0,4,10+,"Academic Clubs/Competition, Athletics, Community Service, Career-oriented internship, Research, Paid work","Yes, in college but not in high school",Math,EDI,15,,Vanderbilt was my first choice,"Yes, and I submitted it",No,1570,,"Yes, standardized testing (ACT/SAT) tutoring, Yes, college counseling","Location, Academics, Student Life",Campus tour,School of Engineering,No,Chemical Engineering,"Yes, on another pre-professional track",North,Stambaugh,No,"Yes, covers partial tuition",$0 ,"Yes, I plan to participate in IFC recruitment",5,1,1,7,5,6,4,2,5,1,"Yes, in my home state/country",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Television, Instagram, Youtube",Three times a week,Three times a week,Three times a week,Three times a week,,Yes,"Minnesota, Wisconsin"
Maryland,,No,White/Caucasian,No,Heterosexual,Man,No,No,Christian,"$200,000 - $299,999",No,No,No,Private,4,My school did not offer,6,My school did not offer,"Athletics, Community Service, Research",No,,EDI,1,,Vanderbilt was my first choice,"Yes, and I submitted it",No,,,"Yes, standardized testing (ACT/SAT) tutoring","Academics, Post-grad opportunities, Student Life","Campus tour, Anchor Day (admitted students day)",College of Arts of Science,No,Biochemistry and Chemical Biology,"Yes, as a pre-med student",North,Stambaugh,No,No,"$50,000 - $74,999","Yes, I plan to participate in IFC recruitment",3,2,1,7,7,3,5,2,6,1,"I am eligible to vote, but am not registered",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Television, Print, Instagram, TikTok, Youtube",Once a week,Once a week,Once a week,Once a week,,Yes,Connecticut
Tennessee,,No,White/Caucasian,No,Heterosexual,Man,No,No,Christian,"$1,000,000 or more","Yes, both parents",No,No,Private,7,My school did not offer,5,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Student Government, Theater, Paid work","Yes, in both high school and college","Writing, Math",Regular Decision,6,,Vanderbilt was my first choice,"Yes, but I did not submit it","Yes, and I submitted it",,33,"Yes, standardized testing (ACT/SAT) tutoring","Academics, Post-grad opportunities, Student Life","Campus tour, Anchor Day (admitted students day)",College of Arts of Science,No,Economics,No,Hank Ingram,Hank Ingram,No,No,$0 ,"Yes, I plan to participate in IFC recruitment",7,1,5,4,2,2,2,1,2,1,"Yes, in Tennessee",I intend to vote for Donald Trump,4-6 hours,"News websites/apps, Television, Instagram, X (formerly Twitter), Youtube",Once a week,Four or more times a week,Once a month,Three times a week,None,Yes,Georgia
California,,No,White/Caucasian,No,Heterosexual,Woman,No,No,"None (Atheist, Agnostic, etc.)","$150,000 - $199,999",No,No,No,Charter,My school did not offer,My school did not offer,10+,0,"Community Service, Dance, Paid work","Yes, in both high school and college",Math,EDI,1,,Vanderbilt was my first choice,No,No,,,"Yes, standardized testing (ACT/SAT) tutoring","Location, Academics, Student Life","Campus tour, Commodore Launch",Peabody College of Education and Human Development,No,Child Studies,No,Sutherland,Sutherland,No,"Yes, covers full tuition",$0 ,"Yes, I plan to participate in Panhellenic recruitment",2,1,1,7,7,4,4,3,6,2,"I am eligible to vote, but am not registered",I intend to vote for Kamala Harris,2-4 hours,"Instagram, TikTok",Once a month,Once a semester,Never,Never,None,No,N/A (I have never owned a fake ID)
